Kilometers_Driven,Fuel_Type,Transmission,Engine CC,Power,Seats,Mileage Km/L,Price
70337,Diesel,Manual,1399,68,5,20,2.8
99638,Diesel,Manual,1248,73.94,5,23.2,3.11
52000,Petrol,Manual,1497,117.3,5,17.8,3.25
75000,Diesel,Automatic,1995,218,5,16.73,13.9
95980,Petrol,Manual,1197,78.9,5,20.36,2.25
16000,Petrol,Manual,1197,82,5,18.9,5.75
73745,Petrol,Manual,1086,74,5,17,2.1
18949,Petrol,Manual,1198,86.7,5,17.8,5
107000,Diesel,Manual,2982,168.5,7,13,16.5
48367,Diesel,Automatic,1968,174.33,5,17.68,39.58
57000,Diesel,Manual,1498,89.84,5,22.7,5.5
58000,Diesel,Manual,2179,140,7,15.1,8.1
30000,Diesel,Manual,1498,98.6,5,25.8,3.5
34212,Diesel,Manual,1199,73.9,5,22.07,2.79
70002,Diesel,Manual,1493,110,5,16.2,3.45
62000,Petrol,Manual,998,67.1,5,18.9,4.45
62001,Petrol,Manual,1598,103.5,5,15.26,2.65
78958,Diesel,Manual,1396,90,5,23,3.8
30180,Petrol,Manual,1197,82.85,5,18.5,4.65
32851,Petrol,Manual,1198,67,7,19.83,3.95
30000,Diesel,Automatic,2967,241.4,5,14.94,9.8
66000,Petrol,Manual,1197,80,5,17,2.7
93850,Petrol,Manual,796,35,5,14,2.41
53000,Petrol,Manual,1197,78.9,5,17.71,3.9
78000,Diesel,Automatic,2993,270.9,5,14.74,24
65000,Diesel,Manual,2179,140,7,16,5.75
40000,Diesel,Automatic,1582,126.32,5,22.32,5.25
30000,Diesel,Automatic,2755,171.5,7,11.36,19.25
38053,Petrol,Manual,1196,73,5,15.1,3.91
25500,Petrol,Manual,624,37.5,4,25.4,2.15
56087,Diesel,Automatic,1995,190,5,22.69,20.75
71088,Petrol,Manual,1799,130,5,13.5,3.35
55000,Diesel,Manual,2494,100.6,7,12.99,11.11
32700,Diesel,Automatic,1984,150,5,23.3,20
39882,Petrol,Automatic,1198,75.94,5,19.15,6.55
128000,Petrol,Automatic,2497,215,5,10.8,7
55000,Diesel,Manual,1248,88.5,5,24.3,7.5
102000,Petrol,Manual,1086,74,5,17,0.85
53753,Diesel,Automatic,2143,107.3,5,15,16.75
10250,Diesel,Manual,1582,126.2,5,22,10.95
43874,Petrol,Manual,998,67.1,5,18.9,2.45
32684,Petrol,Automatic,624,37.48,4,21.9,3.23
42000,Diesel,Manual,2179,120,8,12.05,7.75
28352,Petrol,Automatic,1796,178,5,11.7,9.35
89900,CNG,Manual,998,58.16,5,26.6,3.25
47700,Petrol,Manual,2354,152,5,10.8,5.25
55000,Diesel,Automatic,1498,103.2,5,21.21,7.25
44285,Petrol,Manual,1373,91.1,5,20.73,7.47
54000,Diesel,Automatic,2179,140,7,16,13.25
30232,Petrol,Manual,1197,85.8,5,21.1,5.81
88500,Petrol,Manual,998,67.1,5,24.07,2.6
13372,Petrol,Automatic,2996,362.07,2,19,54
12645,Petrol,Automatic,1591,121.3,5,17,11.5
94385,Petrol,Manual,796,46.3,5,19.7,1.6
31821,Diesel,Automatic,1995,143,5,20.58,17.22
12000,Petrol,Automatic,1199,88.7,5,19,6
88578,Petrol,Manual,1799,130,5,13.5,3.95
44965,Diesel,Automatic,2143,170,5,19.27,17.95
45044,Diesel,Manual,1498,98.6,5,25.8,3.7
34204,Petrol,Manual,1197,81.8,5,22,5.43
80759,Petrol,Manual,1086,74,5,17,1.67
91235,Diesel,Manual,2982,171,7,11.5,13.49
38800,Petrol,Manual,1199,76.8,5,18.6,2.85
83000,Diesel,Manual,1498,103.52,5,21.14,4.75
41283,Petrol,Manual,1373,91.1,5,20.73,9.9
23000,Petrol,Automatic,2894,444,4,11.05,37
48000,Diesel,Automatic,1995,190,5,21.76,26.5
48214,Diesel,Automatic,1968,174.33,5,17.11,23.32
35000,Diesel,Manual,1248,74,5,22.9,6.25
35277,Petrol,Automatic,5461,362.9,5,7.81,30
54620,Diesel,Automatic,1498,103.52,5,21.66,9.86
136997,Diesel,Automatic,1968,138.1,5,17.2,8.5
14322,Petrol,Manual,814,55.2,5,21.1,4.23
65634,Diesel,Manual,1199,73.9,5,22.07,3.5
6000,Petrol,Manual,1198,67.06,5,20.63,2.5
33280,Petrol,Manual,1198,86.8,5,19.4,2.39
29000,Petrol,Automatic,1595,120.7,5,14.8,11.25
42831,Diesel,Manual,1498,98.6,5,26,7.11
90000,Diesel,Manual,2494,100.6,7,12.99,10.9
24005,Petrol,Manual,1197,81.8,5,20.4,6.2
32792,Diesel,Manual,2179,140,7,15.1,7.9
147898,Diesel,Manual,1498,89.84,5,22.7,4.42
131765,Diesel,Manual,2982,168.5,7,13,13.5
65000,Diesel,Automatic,1498,108.5,5,21.5,6.25
66123,Diesel,Manual,1399,68,5,20,2.1
41000,Diesel,Automatic,2993,258,5,15.3,45
23550,Diesel,Automatic,2143,167.62,5,19.27,33.66
45000,Petrol,Manual,1198,86.8,5,19.4,3.65
60000,Petrol,Manual,1197,78.9,5,20.36,2.75
44414,Diesel,Automatic,2143,170,5,17.9,42.5
1000,Petrol,Manual,1197,81.86,5,18.9,6.5
62500,Diesel,Automatic,1968,174.33,5,17.68,19
21000,Petrol,Automatic,1598,103.6,5,14.4,4.45
8525,Diesel,Automatic,1998,112,5,16.6,23
29000,Diesel,Manual,1396,88.73,5,22.54,8.35
40000,Diesel,Automatic,1968,174.33,5,17.68,22.95
88000,Diesel,Manual,936,57.6,5,25.44,1.5
53537,Petrol,Automatic,1798,157.75,5,13.7,6.89
216000,Diesel,Manual,1399,68,5,17.8,1.45
51000,Diesel,Automatic,1995,190,5,22.48,33.5
118500,Petrol,Manual,1598,102.5,5,12.9,1.25
63000,Diesel,Manual,1199,73.9,5,22.07,4.2
25000,Diesel,Manual,1461,108.5,8,19.98,6.75
37382,Diesel,Automatic,2143,201.1,5,13,32
24773,Petrol,Manual,1197,83.1,5,21.4,7.5
62000,Diesel,Manual,1582,126.32,5,22.32,4.6
52340,Petrol,Manual,1086,68.05,5,19.81,4.04
56739,Diesel,Manual,1997,120,7,15.4,10.31
36091,Diesel,Automatic,2179,187.7,5,12.7,55.76
120000,Diesel,Manual,1399,68,5,20,2.6
33000,Diesel,Manual,1248,88.5,7,25.47,8.5
52000,Diesel,Manual,1498,98.6,5,25.8,3.5
43571,Petrol,Manual,1197,78.9,5,20.36,3.55
50000,Diesel,Manual,1498,98.6,5,25.8,3.25
113000,Diesel,Manual,1896,106,5,17.5,4.5
90000,Diesel,Manual,1461,83.8,5,19.87,5.35
29000,Diesel,Manual,1493,100,7,17.45,6.5
20000,Diesel,Manual,1248,88.5,5,24.3,9
61012,Petrol,Manual,1197,81.83,5,18.6,6
87459,Petrol,Manual,1390,85,5,14.7,2.75
70500,Petrol,Manual,1193,64.1,5,15.64,1.5
64103,Diesel,Automatic,1968,174.33,5,15.73,19.9
76000,Petrol,Automatic,1798,177.5,5,14.7,10
104000,Diesel,Manual,1364,67.06,5,23.59,3
37245,Petrol,Automatic,1595,120.7,5,14.8,11.96
45000,Diesel,Manual,1498,98.6,5,27.4,3.25
117837,Diesel,Manual,1582,126.32,5,22.32,4.75
30000,Diesel,Manual,1461,83.8,5,20.46,5.95
27057,Petrol,Manual,1591,121.3,5,15.29,8.15
8500,Petrol,Automatic,998,67,5,20.51,4.22
30500,Petrol,Automatic,1796,186,5,11.74,10.5
56000,Diesel,Automatic,2967,246.7,5,11.8,45
44000,Petrol,Manual,1086,68.05,5,19.81,2.9
10500,Petrol,Automatic,1598,103.52,5,14.3,8.9
26000,Petrol,Automatic,1798,177.46,5,14.67,26
25166,Petrol,Manual,1197,81.86,5,17.19,8.22
64000,Diesel,Manual,1498,98.6,5,25.8,3.5
61000,Petrol,Manual,998,67.1,5,18.9,1.25
107000,Diesel,Manual,1461,65,5,21.03,3.7
29161,Diesel,Automatic,2143,167.62,5,19.27,39.41
32000,Petrol,Manual,998,67.04,5,22.5,2.65
46173,Diesel,Manual,1461,108.5,5,19.01,8.92
47000,Diesel,Manual,1248,74,5,17.8,4.1
26327,Petrol,Automatic,1998,189.08,4,16.82,35.67
200000,Diesel,Manual,1396,53.5,5,17.2,0.85
60813,Petrol,Manual,1199,76.8,5,18.6,3.32
45000,Diesel,Manual,1199,73.9,5,22.07,3.6
64000,Diesel,Manual,1248,74,5,22.9,6.8
41284,Diesel,Manual,1399,68.05,5,20,2.5
14165,Diesel,Automatic,2755,171.5,7,11.36,19.64
67000,Diesel,Automatic,2199,194.3,7,11.72,7
32572,Petrol,Manual,1497,117.3,5,17.4,3.87
14960,Petrol,Manual,1197,81.83,5,18.6,6.27
55980,Diesel,Automatic,2143,167.62,5,19.27,18.12
74000,Diesel,Manual,936,57.6,5,25.44,2.65
56847,Diesel,Manual,1396,88.73,5,22.54,7.2
121374,Diesel,Manual,2494,100.6,7,12.99,14.3
52000,Diesel,Manual,1248,88.76,7,20.77,6.9
118000,Diesel,Manual,2494,102,7,12.8,10.75
72000,Petrol,Manual,1086,74,5,17,0.95
33915,Petrol,Manual,1497,117.3,5,17.8,8.09
82002,Diesel,Automatic,1995,184,5,17.05,18.5
33000,Diesel,Manual,1120,70,5,24,4.75
34000,Diesel,Manual,1248,88.5,5,28.09,8.45
55000,Diesel,Manual,1598,103.6,5,20.5,3.5
160538,Diesel,Manual,1493,82,5,13.1,1.8
60000,Diesel,Manual,1498,103.6,5,19.91,3.7
49575,Petrol,Manual,1199,88.7,5,18.7,7.17
83000,Petrol,Manual,1086,68.05,5,19.81,1.75
51346,Diesel,Automatic,1995,183,5,16.38,21.99
43000,Diesel,Manual,2393,147.8,7,13.68,18.65
35000,Petrol,Manual,796,35,5,19.7,1.85
27872,Petrol,Manual,1197,81.8,5,20.4,5.95
16514,Petrol,Manual,1197,82,5,18.9,3.75
120000,Diesel,Manual,1248,74,5,22.9,3.75
143275,Diesel,Manual,1582,126.2,5,22,2.6
99000,Petrol,Manual,1086,74,5,0,1.75
52000,Petrol,Manual,1197,80,5,17,2.8
29819,Diesel,Automatic,2987,254.79,5,11.57,61.29
57000,Diesel,Manual,2148,170,5,15.8,18
88500,Diesel,Manual,1248,73.94,5,23.2,4.35
28000,Diesel,Manual,1582,126.2,5,19.67,13.75
67000,Petrol,Manual,998,66.1,5,19,2
26000,Diesel,Manual,1461,108.45,5,19.64,10
120000,Diesel,Manual,1248,76,5,17.8,1.65
51982,Diesel,Automatic,2993,258,5,16.55,45.77
36000,Petrol,Manual,1197,78.9,5,20.36,3.25
47000,Diesel,Manual,2494,102,7,12.8,12.8
60000,Petrol,Manual,993,60,5,17.3,0.55
31025,Diesel,Manual,1248,74,5,28.4,7.15
105000,Diesel,Manual,2179,120,8,12.05,7
121900,Diesel,Manual,1248,74,5,22.95,3.75
22695,Petrol,Manual,999,123.24,5,18.88,8.5
73000,Diesel,Manual,1248,74,5,23.4,4.35
32227,Petrol,Manual,796,47.3,5,22.74,3.26
55000,Petrol,Manual,1497,118,5,17,4.21
11287,Diesel,Automatic,2967,241.4,7,12.07,70.36
48000,Diesel,Automatic,1896,105,5,17,2.95
54308,Petrol,Manual,1591,121.3,5,17.1,4.28
78442,Petrol,Automatic,1497,118,5,16.8,3.57
46000,Diesel,Manual,1396,88.8,5,21.9,3.11
45051,Petrol,Automatic,1396,98.6,5,15,5.96
69000,Diesel,Manual,1598,103.6,5,20.54,4.7
49000,Petrol,Manual,1497,117.3,5,17.4,6.9
45000,Diesel,Manual,1248,74,5,22.95,5.25
64000,Diesel,Automatic,1995,177,5,18.48,28
60000,Petrol,Manual,1061,67,5,18.9,1.35
62178,Petrol,Manual,1199,88.7,5,18.2,4.85
58006,Diesel,Manual,1896,105,5,15,6.7
74000,Petrol,Manual,1197,78.9,5,20.36,3.1
77771,Diesel,Automatic,2143,170,5,19.27,18.64
45275,Petrol,Manual,1197,78.9,5,20.36,2.8
48000,Diesel,Manual,2393,147.8,7,13.68,20.25
31652,Diesel,Automatic,1968,174.33,5,17.68,26.78
109000,Diesel,Manual,2494,100.6,7,12.99,8.26
31978,Petrol,Manual,1198,73.9,5,16.47,3.89
70000,Petrol,Manual,998,67.1,5,20.92,2.1
15000,Petrol,Automatic,1497,117.3,5,18,12.69
59138,Diesel,Manual,1405,70,5,17,2.58
61726,Diesel,Automatic,1968,174.33,5,17.68,20.77
48000,Diesel,Automatic,2143,136,5,17.9,20.26
58000,Petrol,Manual,1086,74,5,0,1.5
60020,Diesel,Manual,1248,74,5,17.8,2.5
77815,Petrol,Automatic,998,67.04,5,23.1,4.25
29000,Diesel,Automatic,2143,201.15,5,17.9,57
44000,Diesel,Automatic,2179,187.7,5,12.7,44
108626,Diesel,Manual,1598,103.6,5,20.54,3.65
71791,Petrol,Manual,796,35,5,14,2.05
91931,Petrol,Manual,1198,86.8,5,18.5,3.13
158000,Diesel,Manual,2956,83.1,7,14.07,1.5
91183,Diesel,Manual,1248,75,5,18,2.85
65000,Petrol,Manual,998,67.1,5,18.9,2.65
88428,Diesel,Manual,2179,140,7,16,10.6
138000,Diesel,Manual,1396,70,5,17.1,1.25
18000,Petrol,Manual,1373,93.7,7,16.02,8.25
60000,Petrol,Automatic,2354,177.6,5,11.7,4.45
48000,Diesel,Manual,1248,73.9,5,19.3,3.7
160000,Diesel,Manual,1399,68,5,17.8,2.8
40000,Petrol,Manual,1497,78,5,17.7,1.8
51495,Diesel,Automatic,1968,174.33,5,17.68,21.95
30000,Diesel,Automatic,2993,313,4,9.52,49
97430,Diesel,Automatic,2967,245,7,14.75,62.67
42496,CNG,Manual,998,67.1,5,26.3,1.4
83000,Diesel,Manual,1396,90,5,23,5.5
37000,Petrol,Automatic,1197,78.9,5,16.95,2.95
28503,Petrol,Automatic,1199,88.7,5,19,6.86
76496,Diesel,Manual,1248,74,5,25.2,6.15
79152,Petrol,Manual,1197,82.85,5,18.5,3.3
32000,Petrol,Manual,1198,73.9,5,16.47,2.55
35000,Petrol,Manual,796,46.3,5,19.7,1.5
105000,Petrol,Automatic,1794,125,5,11.3,2.5
56000,Petrol,Manual,796,46.3,5,19.7,1.4
73000,Diesel,Manual,1248,88.8,5,21.12,3.4
38000,Petrol,Manual,796,46.3,5,19.7,2.25
775000,Diesel,Automatic,1968,141,5,19.3,7.5
80000,Petrol,Automatic,1794,125,5,11.3,2.8
24973,Petrol,Manual,1197,81.83,5,18.6,7.66
45000,Diesel,Manual,1248,88.5,5,24.3,7.15
87430,Petrol,Manual,1497,118,5,17,3.5
133944,Diesel,Manual,1248,75,5,18,3.5
57000,Diesel,Manual,1498,98.6,5,25.8,3.45
27904,Petrol,Manual,814,55.2,5,21.1,3.55
30717,Diesel,Automatic,1995,190,5,21.76,25.99
80000,Diesel,Manual,1582,126.32,5,22.32,5.25
47304,Diesel,Manual,1248,88.8,5,21.02,2.9
100000,Petrol,Automatic,1984,227,5,14.45,2.05
30000,Petrol,Manual,998,67.1,5,24.07,3.75
68000,Diesel,Manual,1498,89.84,5,22.7,6.75
21000,Petrol,Manual,995,62,5,18,0.95
21000,Diesel,Automatic,1999,177,5,19.33,52
119000,Petrol,Manual,1997,141.1,5,13.1,3.91
13747,Petrol,Automatic,1798,177.46,5,14.67,27.3
620000,Petrol,Manual,1197,78.9,5,20.36,2.7
70000,Diesel,Manual,1248,74,5,22.9,3.5
18000,Petrol,Automatic,1197,83.14,5,18.5,6.2
83000,Diesel,Manual,1461,63.1,5,23.08,2.75
130000,Diesel,Manual,1248,74,5,23.4,3.25
63400,Diesel,Manual,1399,67,5,17.8,3.25
65000,Petrol,Manual,993,60,5,17.3,0.65
8350,Petrol,Manual,1998,192,5,13.8,35
45000,Diesel,Manual,1364,67.05,5,23.59,3.25
26200,Petrol,Manual,796,47.3,5,24.7,2.9
11000,Petrol,Manual,796,47,5,18.9,2.9
90000,Diesel,Automatic,2993,235,5,11,17.75
74000,Petrol,Automatic,2496,179.5,5,11.07,8.25
37081,Petrol,Automatic,1197,82,5,18.9,5.77
39000,Diesel,Manual,1248,88.5,5,24.3,9.49
99000,Diesel,Automatic,2967,241.4,7,12.07,12.95
38000,Diesel,Automatic,2143,136,5,17.9,20
72000,Petrol,Manual,796,37,4,16.1,1
93000,Diesel,Manual,1461,83.8,5,20.45,7.1
5900,Diesel,Manual,1364,87.2,5,21.43,16.5
25000,Diesel,Manual,2148,170,5,15.8,26
68000,Diesel,Manual,1248,73.9,5,21.1,3.2
35676,Petrol,Automatic,1497,117.3,7,16,9.48
74310,Diesel,Manual,1120,71,5,24.4,4
59364,Diesel,Automatic,2143,203,5,14.21,26.5
41380,Petrol,Automatic,1595,120.7,5,14.8,11.77
33900,Diesel,Automatic,2143,204,5,15,37
28000,Petrol,Manual,1497,117.3,5,17.8,8.75
50958,Petrol,Manual,1086,74,5,17,1.95
93982,Petrol,Manual,1497,118,5,17,3.75
95000,Petrol,Manual,1599,103.2,5,16.2,2.5
9000,Petrol,Automatic,1999,246.74,5,13.5,34.5
52516,Petrol,Manual,1198,86.7,5,18,4.65
20000,Petrol,Automatic,1598,122,4,18.86,32
56451,Diesel,Automatic,2987,282,5,13.5,62.81
37000,Petrol,Manual,814,55.2,5,21.1,3.25
17400,Petrol,Manual,998,67.04,5,20.51,3.1
90207,Diesel,Manual,1248,73.9,5,21.1,3.91
89616,Diesel,Automatic,1995,181,5,16.07,11
85000,Diesel,Manual,2179,138.03,5,13.49,3.5
79271,Diesel,Automatic,1968,143,5,20.38,16.5
56000,Diesel,Automatic,2179,187.7,5,12.7,30
85001,Diesel,Automatic,2987,224,7,12,28
12000,Diesel,Automatic,2477,175.56,7,13.5,28
125000,Petrol,Manual,796,46.3,5,19.7,0.92
53000,Petrol,Manual,1061,64,5,14,2.75
34990,Diesel,Automatic,2179,187.7,5,12.7,53.83
49768,Petrol,Manual,1591,121.3,5,17.01,4.95
56000,Diesel,Automatic,2993,218,5,16.73,33.5
75000,Diesel,Automatic,2993,270.9,5,14.74,27.95
57000,Petrol,Automatic,1798,157.75,5,13.7,7.25
37542,Diesel,Automatic,1968,174.33,5,15.73,25.71
95649,Diesel,Automatic,2179,187.7,5,12.7,29.67
35299,Diesel,Automatic,2143,170,5,14.84,19
28464,Diesel,Manual,2179,120,7,15.4,13.05
41000,Diesel,Automatic,1995,190,5,21.76,25.5
9000,Petrol,Manual,1497,117.3,7,15.4,8.5
92098,Diesel,Automatic,2400,215,5,16,7.25
5834,Petrol,Manual,1495,94,5,13.2,0.8
40250,Petrol,Manual,1197,81.86,5,17.19,6.9
22397,Petrol,Automatic,2996,367,5,11.5,70.99
20800,Petrol,Manual,814,55.2,5,21.1,2.25
40322,Petrol,Manual,1197,81.86,5,18.9,5.5
52576,Petrol,Manual,1493,100,5,13,4.35
55000,Petrol,Manual,1198,73.9,5,16.47,2.25
47000,Petrol,Automatic,1798,187.74,5,15.26,24.5
42021,Diesel,Manual,1968,74,5,0,5.45
23163,Petrol,Manual,1591,121.3,5,15.29,12.03
50000,Petrol,Automatic,1796,186,5,11.74,8.5
11900,Petrol,Automatic,1998,189.08,4,16.82,28.5
108000,Petrol,Manual,1086,74,5,17,1.2
37000,Diesel,Manual,1364,67.04,5,23.59,5.75
30000,Petrol,Manual,1198,86.8,5,19.4,3.2
12831,Petrol,Automatic,1197,83.1,5,21.4,9.89
143017,Diesel,Automatic,1968,138.1,5,20,6.58
13102,Petrol,Manual,814,55.2,5,21.1,4.06
24950,Diesel,Manual,1461,108.45,5,20.37,13.37
57832,Diesel,Automatic,2993,258,5,16.2,25.82
34267,Petrol,Manual,796,47.3,5,22.74,3.74
33000,Diesel,Automatic,1984,150,5,16.8,22
55100,Petrol,Manual,998,67.1,5,18.9,1.45
40000,Petrol,Manual,1497,78,5,17.7,2
31841,CNG,Manual,1196,73,5,15.1,4.7
15000,Petrol,Manual,1399,98.79,8,13.7,3.75
82756,Diesel,Manual,2523,62.1,7,15.96,7.7
50243,Petrol,Manual,1086,74,5,0,3.35
20600,Petrol,Manual,814,55.2,5,21.1,2.6
29952,Petrol,Automatic,1591,121.3,5,13,13.77
15000,Petrol,Manual,1598,103.5,5,16.09,7.1
61938,Petrol,Automatic,1799,130,5,12.9,2.65
67000,Diesel,Manual,1248,74,5,22.3,2.5
61672,Diesel,Manual,2179,140,7,16,7.53
26185,Petrol,Manual,1197,81.83,5,18.6,7.98
38000,Diesel,Automatic,1968,174.3,5,14.16,39
67000,Petrol,Manual,1197,85.8,5,18.5,2.25
66000,Petrol,Manual,1999,114,5,13.17,3.85
80883,Diesel,Manual,2494,102,7,12.8,13.5
80219,Diesel,Manual,793,47,5,27.62,3.5
12923,Diesel,Manual,1248,88.5,5,25.1,8.92
86642,Diesel,Automatic,1968,181,5,15.17,20.37
19235,Diesel,Automatic,1995,190,5,21.76,36.5
51002,Diesel,Automatic,4134,335.2,7,11.33,48.91
6800,Petrol,Manual,1197,81.83,5,18.6,7.2
82749,Diesel,Manual,1461,108.45,5,19.01,5.99
51000,Diesel,Manual,1120,71,5,24.4,5.25
31465,Diesel,Manual,1498,89.84,5,22.7,6.5
76476,Petrol,Manual,1198,73.9,5,16.47,4.4
14000,Diesel,Manual,1120,70,5,24,4.6
47000,Diesel,Manual,1248,88.8,5,21.12,2.95
48466,Petrol,Manual,1497,118,5,17,3.26
46000,Petrol,Manual,1086,62.1,5,17.92,2.22
162663,Diesel,Manual,2494,100,7,12.99,10.5
25142,Diesel,Manual,1248,88.5,5,28.09,8.26
69000,Diesel,Manual,2982,169,7,12.55,14.45
80524,Petrol,Manual,1596,74,5,15.3,2.5
26405,Petrol,Automatic,1950,191.34,5,12.6,51.43
45000,Diesel,Manual,2148,170,5,15.8,23
64284,Diesel,Manual,1968,108.49,5,17.72,5.5
27000,Petrol,Manual,1197,82,5,18.9,4.5
3678,Petrol,Manual,1196,86.8,5,18.16,6.8
21000,Petrol,Manual,1395,138.02,5,16.8,8.75
67000,Diesel,Manual,1461,83.8,5,19.87,7
24000,Diesel,Automatic,1999,177,5,15.68,33.5
75000,Diesel,Manual,1399,68,5,20,2.25
179000,Diesel,Automatic,2953,156,7,12.8,4.24
47198,Diesel,Manual,2982,168.5,7,12.55,28.42
52000,Diesel,Manual,1199,73.9,5,22.07,2.75
91000,Diesel,Manual,1248,73.94,5,23.2,3
60000,Diesel,Manual,1461,63.1,5,23.08,3.55
37873,Diesel,Manual,1582,126.32,5,22.32,4.8
31000,Petrol,Automatic,2497,150,5,10.8,13.5
129000,Diesel,Automatic,2987,258,7,11,56
78000,Petrol,Automatic,2354,187.4,5,12,3.99
32000,Diesel,Automatic,1582,126.2,5,17.01,15.5
59000,Petrol,Manual,1086,68.05,5,19.81,2.32
35437,Diesel,Automatic,2143,136,5,20,18.58
98000,Petrol,Manual,1373,93.7,7,16.02,5.5
72000,Diesel,Manual,1896,66,5,18.7,3.2
79000,Petrol,Manual,1198,86.7,5,18,4
29000,Petrol,Manual,993,60,5,17.3,1.6
66012,Petrol,Manual,1586,103.3,5,15.5,4.15
35000,Petrol,Automatic,1198,86.8,5,16.5,4.25
75000,Petrol,Manual,998,67.1,5,18.9,2.6
